id,seed,final_train_perplexity,final_val_perplexity,model_dir,model_path,msf_ppl
20250926-103328,4243591,532.238396741014,586.9854309417088,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103328'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103328'}/checkpoint_step1700_tokens87040000.pt,3209.28
20250926-103326,4360182,489.8232393465535,486.6280141983472,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103326'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103326'}/checkpoint_step1700_tokens87040000.pt,2968.72
20250926-103409,4437204,815.9124677656026,827.7821368360857,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103409'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103409'}/checkpoint_step1700_tokens87040000.pt,6738.88
20250926-105200,4456769,1291.5625897405823,1364.7820165072585,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105200'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105200'}/checkpoint_step1700_tokens87040000.pt,17134.72
20250926-105213,4464204,1755.9220423708182,1595.5918304990491,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105213'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105213'}/checkpoint_step1700_tokens87040000.pt,20284.16
20250926-105210,4478399,491.5753070335849,586.9854309417088,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105210'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105210'}/checkpoint_step1700_tokens87040000.pt,3385.28
20250926-105158,4613717,500.3776061361918,502.07524555352444,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105158'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105158'}/checkpoint_step1700_tokens87040000.pt,3089.28
20250926-105235,4615619,1478.7544735636236,1364.7820165072585,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105235'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105235'}/checkpoint_step1700_tokens87040000.pt,17593.6
20250926-105149,4623651,680.1709151495444,665.1416330443618,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105149'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105149'}/checkpoint_step1700_tokens87040000.pt,4328.8
20250926-103340,4662722,528.7100128174454,551.4217815078388,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103340'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103340'}/checkpoint_step1700_tokens87040000.pt,2557.28
20250926-103322,4827339,993.1192752136648,1030.1915141420939,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103322'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103322'}/checkpoint_step1700_tokens87040000.pt,9850.88
20250926-105159,4890196,563.1269851843471,568.9257878221232,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105159'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105159'}/checkpoint_step1700_tokens87040000.pt,3434.16
