,final_train_perplexity,final_val_perplexity,msf_ppl
fro_norm,0.52220699772803,0.3934866355232028,0.5352397908153057
w_mean,-0.04728466892360547,0.0117447242042785,-0.22258590292868485
w_std,0.5222074676536982,0.3934886184893142,0.5352385463352806
w_sign_ratio,-0.17299178131564927,-0.10099703129692428,-0.2857967922459561
w_skew,-0.014015617833166056,-0.058572132369291825,0.10105568841935503
w_kurt,-0.2094358657651952,-0.08940036133243723,-0.06385623689338726
in_sum_var,0.5040161286182218,0.32294173629101725,0.4380570969353397
out_sum_var,0.5036453542494482,0.32392945365857545,0.4361347701153319
in_sum_cv,-0.09255477868432138,-0.03231269417631107,0.20533202818884982
out_sum_cv,-0.37862766515246793,-0.2772463312707472,-0.3943279024374325
in_sum_gini,-0.06809229371401769,0.00283615871090568,0.2236553757179833
out_sum_gini,-0.3648909250839905,-0.2585756087252727,-0.39395656669240753
mean_abs_in_var,0.5042234679827796,0.32384542083100826,0.4363612169082016
mean_abs_out_var,0.5036399173510663,0.322280411662732,0.4362688409080125
mean_abs_in_cv,0.10995772170047433,0.20111611187943865,0.05560432704240769
mean_abs_out_cv,-0.1565341478484577,-0.1426834924560137,-0.179967988288117
k_in_var,,,
k_out_var,,,
k_in_cv,0.01693202880508736,0.09987457834699819,-0.048041610997689006
k_out_cv,0.04481760017797412,0.012043942346654707,-0.08131161312488078
sign_balance_var,0.02306610487706826,0.06017951987470667,0.04368399182216331
