file,run_name,final_train_perplexity,final_val_perplexity,final_train_loss,final_val_loss,parameter_count,training_time_sec,seed,hp.local_rank,hp.deepspeed_config,hp.use_deepspeed,hp.local_batch_size,hp.use_gpu_amount,hp.learning_rate,hp.validate_every_steps,hp.save_checkpoint_every_steps,hp.generate_every,hp.seq_len,hp.total_tokens,hp.epochs,hp.grad_clip_norm,hp.beta1,hp.beta2,hp.weight_decay,hp.tokenizer_path,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,hp.ngrc_max_cross_terms,hp.ngrc_readout_rank,hp.ngrc_num_layers,hp.ngrc_gating,hp.ngrc_embed_frozen,hp.ngrc_training,hp.ngrc_loss,hp.ngrc_ridge_alpha,hp.ngrc_ridge_max_batches,hp.dataset_path,hp.val_dataset_path,hp.wandb_project,hp.wandb_run_name,hp.api_file,hp.report_path,hp.hf_repo,hp.hf_private,hp.enable_compile
../reports_multilayer_NGRC/multilayer_NGRC(191.65M_d512_lag48_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-221517_report.txt,multilayer_NGRC(191.65M_d512_lag48_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-221517,1730.853428043184,1242.6481670549958,7.456369876861572,7.125,191652864,3383.253837108612,3034325,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,48,1,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(195.60M_d512_lag32_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-214151_report.txt,multilayer_NGRC(195.60M_d512_lag32_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-214151,1733.7684880523639,1242.6481670549958,7.458052635192871,7.125,195597312,3398.6146743297577,3792513,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,32,1,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(22.06M_d128_lag16_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-214405_report.txt,multilayer_NGRC(22.06M_d128_lag16_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-214405,433.8062390026618,471.65604418826433,6.072597980499268,6.15625,22058496,412.46744894981384,4552953,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,16,2,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(23.98M_d64_lag96_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-213415_report.txt,multilayer_NGRC(23.98M_d64_lag96_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-213415,1442.3414168749277,1322.7920882144774,7.274023056030273,7.1875,23982336,486.4384095668793,3574181,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,64,96,1,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(241.98M_d512_lag64_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-231341_report.txt,multilayer_NGRC(241.98M_d512_lag64_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-231341,1734.923807971558,1242.6481670549958,7.458718776702881,7.125,241984512,4161.6163766384125,1185565,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,64,1,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(271.09M_d512_lag48_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-224022_report.txt,multilayer_NGRC(271.09M_d512_lag48_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-224022,1734.4175888420477,1242.6481670549958,7.4584269523620605,7.125,271094784,4977.197349071503,4520447,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,48,1,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(34.64M_d128_lag32_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-215240_report.txt,multilayer_NGRC(34.64M_d128_lag32_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-215240,509.70657669690036,534.4563168515505,6.233835220336914,6.28125,34641408,632.3452470302582,4466291,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,32,2,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(35.92M_d128_lag16_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-002543_report.txt,multilayer_NGRC(35.92M_d128_lag16_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-002543,462.8321158210556,443.0798490653855,6.137364387512207,6.09375,35924736,706.5036406517029,1198651,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,16,2,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(47.22M_d128_lag48_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-220506_report.txt,multilayer_NGRC(47.22M_d128_lag48_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-220506,715.2702520445608,708.0395827712994,6.572660446166992,6.5625,47224320,840.5987031459808,4871047,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,48,2,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(49.79M_d128_lag16_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-000702_report.txt,multilayer_NGRC(49.79M_d128_lag16_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-000702,1735.2183432753598,1242.6481670549958,7.458888530731201,7.125,49790976,987.8588864803314,4476079,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,16,2,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
