id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl
20250814-085200,1487329,121.70429089650712,168.17414165184545,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-085200'}/checkpoint_step6000_tokens98304000.pt,2496.28
20250730-010810,1665574,770.4766680345258,686.2554949467076,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250730-010810'}/checkpoint_step6000_tokens98304000.pt,1862.04
20250728-101625,1802095,117.23848858788008,153.12429849019884,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250728-101625'}/checkpoint_step6000_tokens98304000.pt,1138.84
20250813-000704,2003755,1196.8365575830824,1131.4440316534813,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250813-000704'}/checkpoint_step6000_tokens98304000.pt,5336.52
20250814-230836,2022206,1041.0505735226018,1131.4440316534813,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-230836'}/checkpoint_step6000_tokens98304000.pt,9348.64
20250727-010603,2025974,122.18505588333213,179.02044192165667,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-010603'}/checkpoint_step6000_tokens98304000.pt,3253.76
20250814-205036,2382675,2185.239650887184,1322.7920882144774,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-205036'}/checkpoint_step6000_tokens98304000.pt,14374.4
20250814-041712,2382711,880.0290429485867,1167.3599206126853,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-041712'}/checkpoint_step6000_tokens98304000.pt,4624.8
20250726-230941,2423809,637.6946196346523,534.4563168515505,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250726-230941'}/checkpoint_step6000_tokens98304000.pt,1928.4
20250812-181700,2504390,109.82317941168839,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250812-181700'}/checkpoint_step6000_tokens98304000.pt,601.12
20250728-121302,2547316,142.31292304927527,190.56626845863,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250728-121302'}/checkpoint_step6000_tokens98304000.pt,5948.0
20250727-165722,2865305,113.32652422449955,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-165722'}/checkpoint_step6000_tokens98304000.pt,801.98
