id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl
20250825-180050,3520298,715.2555862952382,730.5151717727034,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-180050'}/checkpoint_step6000_tokens98304000.pt,964.44
20250826-020104,3539307,681.2472466896719,665.1416330443618,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-020104'}/checkpoint_step6000_tokens98304000.pt,856.52
20250825-164821,3799368,726.6002922946051,730.5151717727034,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-164821'}/checkpoint_step6000_tokens98304000.pt,882.36
20250825-105203,3987288,969.615152141048,518.012824668342,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-105203'}/checkpoint_step6000_tokens98304000.pt,731.46
20250825-151213,3997651,774.1859394363596,586.9854309417088,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-151213'}/checkpoint_step6000_tokens98304000.pt,752.0
20250825-233908,4121263,903.6669346588175,686.2554949467076,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-233908'}/checkpoint_step6000_tokens98304000.pt,1431.96
20250826-024951,4126360,3187.85749859509,2113.8157381974315,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-024951'}/checkpoint_step6000_tokens98304000.pt,8765.28
20250825-153552,4213414,4088.163848951188,8625.687941050362,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-153552'}/checkpoint_step6000_tokens98304000.pt,22601.28
20250825-092436,4237317,737.3133995462721,708.0395827712994,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-092436'}/checkpoint_step6000_tokens98304000.pt,1011.72
20250825-173712,4354980,840.7191849238187,534.4563168515505,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-173712'}/checkpoint_step6000_tokens98304000.pt,584.32
20250825-211138,4378554,881.6797371948356,730.5151717727034,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-211138'}/checkpoint_step6000_tokens98304000.pt,735.68
