id,seed,final_train_perplexity,final_val_perplexity,model_path,rho_act,fro_norm,w_mean,w_std,w_sign_ratio,w_skew,w_kurt,self_loops,deg_skew,deg_var,moment2_trace,moment3_trace,in_sum_var,out_sum_var,sign_balance_var
20250718-125856,69562,16223.99003397866,3377.8679316735347,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-125856'}/checkpoint_step6000_tokens98304000.pt,0.9745088910148332,5746.573140814383,0.0035854270844438017,3.96866788219555,0.5005184436198525,-0.00141131943467958,0.001561104791960144,43.0,0.7668438518069955,1.8889122009277344,0.06832450279931,2.090527391114509,500.7278671302379,501.3650623527507,0.03214112764398416
20250720-010954,191593,7946.621339723659,13359.726829661871,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250720-010954'}/checkpoint_step6000_tokens98304000.pt,0.9653067063341841,265.392447834665,-6.000693088674423e-06,0.18328535526279663,0.49984475078805074,0.000940292504290731,0.00011711140557091326,34.0,0.7153439362549558,1.8577232360839844,-0.0007376498448013487,-0.00020622786253947243,1.077991624134104,1.0701414792595054,0.03235567135861893
20250721-171945,216569,111.52386943575443,148.4131591025766,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-171945'}/checkpoint_step6000_tokens98304000.pt,0.9310068177598937,255.00199657015565,2.8073737944384693e-05,0.17610828083250582,0.500113990932236,-0.001882339501373125,-0.0006608395849005966,34.0,0.7010366469736151,1.8942718505859375,-0.00031045029883282685,0.0005827398715554128,0.9871670870425032,0.9918743936693137,0.03225037975936306
20250718-010717,321374,5646.451090550553,59874.14171519782,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-010717'}/checkpoint_step6000_tokens98304000.pt,,,,,,,,,,,,,,,
20250722-114101,328634,340.00470815425825,304.5240299109616,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250722-114101'}/checkpoint_step6000_tokens98304000.pt,0.9882162013674034,275.0045989236905,-5.733202600824408e-05,0.1899236460345215,0.4999928456618478,0.00128503164210651,0.0029637344661890275,26.0,0.7965727843414347,2.029296875,0.0001715617712717425,0.0009967568271428693,1.160546562932155,1.147289794252175,0.03219061093595994
20250721-211152,336023,895.4941412241585,1062.893303177624,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-211152'}/checkpoint_step6000_tokens98304000.pt,0.989924415619449,322.25843964968783,-0.00011345532790974012,0.22255584044577137,0.4999275041589719,-0.0014475997811703796,-0.000233613791300602,34.0,0.6838861307315303,1.9898138046264648,-0.0003558578972867675,-0.00018100867520609104,1.5774399489406743,1.585663724745914,0.03257079799949978
20250718-032115,435797,1794.826897467795,1698.498662260842,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-032115'}/checkpoint_step6000_tokens98304000.pt,,,,,,,,,,,,,,,
20250724-161236,447122,130.5295547399764,162.99996726850102,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250724-161236'}/checkpoint_step6000_tokens98304000.pt,0.9488197232985279,260.9104351366275,0.0002827663907854878,0.18019032412510685,0.5004845904066362,-0.0007824397850724095,-0.000298069509578891,28.0,0.7467116659484521,2.0380821228027344,-1.0943240060675999e-05,-0.000900193085187583,1.0390652554554263,1.043730103554575,0.03233122083288975
20250718-151303,469634,3363.765233559485,4914.768840299134,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-151303'}/checkpoint_step6000_tokens98304000.pt,0.9896695242632421,409.55414307707446,7.785151646566526e-06,0.28284442908121316,0.49961963258654135,0.002997285235411086,0.0026595920938299322,16.0,0.763999204595499,2.0594329833984375,0.002674997770420816,-0.000838220656739576,2.5698144866789354,2.5652155587347147,0.03243515185926062
20250721-030335,477887,1085.495528616351,1985.7461168433776,checkpoint/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-030335'}/checkpoint_step6000_tokens98304000.pt,0.7248616977529934,356.75238525442535,-0.00012683020698542823,0.2463775103731457,0.49976033504445366,0.00036256817033076394,-0.0002974427395412427,39.0,0.6391962876765416,1.9715261459350586,0.0016980737313353807,-0.0016896829277129799,1.9423275532274604,1.9233868028831613,0.032329124058474566
