id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl,fro_norm,w_mean,w_std,w_sign_ratio,w_skew,w_kurt,in_sum_var,out_sum_var,in_sum_cv,out_sum_cv,in_sum_gini,out_sum_gini,mean_abs_in_var,mean_abs_out_var,mean_abs_in_cv,mean_abs_out_cv,k_in_var,k_out_var,k_in_cv,k_out_cv,sign_balance_var
20250720-010954,191593,7946.621339723659,13359.726829661871,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250720-010954'}/checkpoint_step6000_tokens98304000.pt,25996.16,265.392447834665,-6.000693088674423e-06,0.18328535526279663,0.49984475078805074,0.000940292504290731,0.00011711140557091326,1.077991624134104,1.0701414792595054,0.2219521912458071,0.22114256505509405,0.12498496779525725,0.12459544263417088,0.00039716425135036146,0.00039377478326619886,0.13630112225823915,0.13569593139179303,31.96250650449656,32.11356851621531,0.17671717356919492,0.17713428391243458,0.03235567135861893
20250721-171945,216569,111.52386943575443,148.4131591025766,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-171945'}/checkpoint_step6000_tokens98304000.pt,667.42,255.00199657015565,2.8073737944384693e-05,0.17610828083250582,0.500113990932236,-0.001882339501373125,-0.0006608395849005966,0.9871670870425032,0.9918743936693137,0.22100289713698457,0.22152919666745374,0.1244508616490887,0.12469735912334268,0.00036005717504372523,0.0003652019105606643,0.13501914362422582,0.1359822799758234,32.067814274691045,32.03769342508167,0.17700560340585664,0.17692245443181695,0.03225037975936306
20250722-114101,328634,340.00470815425825,304.5240299109616,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250722-114101'}/checkpoint_step6000_tokens98304000.pt,1454.8,275.0045989236905,-5.733202600824408e-05,0.1899236460345215,0.4999928456618478,0.00128503164210651,0.0029637344661890275,1.160546562932155,1.147289794252175,0.22222016074922946,0.22094731979980362,0.12515797037797016,0.12442088934274198,0.00042613072833035077,0.000422532297497843,0.1362157668511104,0.1356523420443491,32.37936160620302,31.67519900854677,0.1778657286685997,0.17592105101808733,0.03219061093595994
20250721-211152,336023,895.4941412241585,1062.893303177624,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-211152'}/checkpoint_step6000_tokens98304000.pt,17512.68,322.25843964968783,-0.00011345532790974012,0.22255584044577137,0.4999275041589719,-0.0014475997811703796,-0.000233613791300602,1.5774399489406743,1.585663724745914,0.22105908205543354,0.22163456421237548,0.12451334641447565,0.12474673544843362,0.0005796991704449532,0.0005797219118767921,0.13558315838082693,0.13557465230776186,31.726752996444702,32.05197882652283,0.17606062892023902,0.1769607127095205,0.03257079799949978
20250718-032115,435797,1794.826897467795,1698.498662260842,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-032115'}/checkpoint_step6000_tokens98304000.pt,6550.48,,,,,,,,,,,,,,,,,,,,,
20250724-161236,447122,130.5295547399764,162.99996726850102,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250724-161236'}/checkpoint_step6000_tokens98304000.pt,5784.8,260.9104351366275,0.0002827663907854878,0.18019032412510685,0.5004845904066362,-0.0007824397850724095,-0.000298069509578891,1.0390652554554263,1.043730103554575,0.22165976459163822,0.22215677437360276,0.12472481443797356,0.1250899151066177,0.00038137649535908416,0.0003804906577599817,0.13586395859369327,0.13572483271613703,31.888574466109276,31.83825097978115,0.17651376866227947,0.17637443512931977,0.03233122083288975
20250718-151303,469634,3363.765233559485,4914.768840299134,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-151303'}/checkpoint_step6000_tokens98304000.pt,30472.64,409.55414307707446,7.785151646566526e-06,0.28284442908121316,0.49961963258654135,0.002997285235411086,0.0026595920938299322,2.5698144866789354,2.5652155587347147,0.22209516967705895,0.2218963504490997,0.12512530425051205,0.12492149323996204,0.0009474213722166463,0.0009410123883168999,0.13644102331892563,0.1359508555294248,31.8581125063356,32.240650348132476,0.17642598995841505,0.17748205108715542,0.03243515185926062
20250721-030335,477887,1085.495528616351,1985.7461168433776,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-030335'}/checkpoint_step6000_tokens98304000.pt,7852.24,356.75238525442535,-0.00012683020698542823,0.2463775103731457,0.49976033504445366,0.00036256817033076394,-0.0002974427395412427,1.9423275532274604,1.9233868028831613,0.22157082925372254,0.22048785045975278,0.12483030556269803,0.12412716414279079,0.0007131292949668431,0.0007149829348686725,0.13583469302112136,0.13599343518038323,31.871361652156338,31.649742999812588,0.17646098888824419,0.17584640474478566,0.032329124058474566
20250720-030605,509971,106.46925057139634,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250720-030605'}/checkpoint_step6000_tokens98304000.pt,655.0,252.4477397426739,3.480947816409234e-05,0.1743462248609734,0.5000417340174215,-0.0001644344834170836,0.003029836277989695,0.9635125911540063,0.9729873721788713,0.22063388057485675,0.22171603750042718,0.12430739856942741,0.12482094689239265,0.0003591150857006323,0.00035649815065072314,0.1362415739612055,0.13578659692540895,31.921822113683447,31.783516449620947,0.17660618420244756,0.17622318366728598,0.03227189604361906
20250723-000809,509971,106.45894506571994,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250723-000809'}/checkpoint_step6000_tokens98304000.pt,653.42,252.44782943309949,3.481340091719469e-05,0.17434628680246678,0.5000417340174215,-0.00016437440629795907,0.0030307147894794717,0.9635129098101585,0.9729880843507935,0.22063384610511824,0.22171604734007883,0.12430738204086622,0.12482095232844692,0.0003591153378083216,0.0003564986670782589,0.1362415770994629,0.13578665102406937,31.921822113683447,31.783516449620947,0.17660618420244756,0.17622318366728598,0.03227189604361906
