file,run_name,hp.local_batch_size,hp.learning_rate,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,final_train_perplexity
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(24.81M_d128_lag64_poly1_rank512_lr0.0005_bs200_seq256_20251214-104019_report.txt,NGRC_LM(24.81M_d128_lag64_poly1_rank512_lr0.0005_bs200_seq256_20251214-104019,200,0.0005,128,64,1.0,523.1167788430415
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(24.86M_d64_lag64_poly3_rank512_lr0.0005_bs200_seq256_20251214-100614_report.txt,NGRC_LM(24.86M_d64_lag64_poly3_rank512_lr0.0005_bs200_seq256_20251214-100614,200,0.0005,64,64,3.0,475.9125357378475
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(26.90M_d128_lag32_poly3_rank512_lr0.0005_bs200_seq256_20251214-104542_report.txt,NGRC_LM(26.90M_d128_lag32_poly3_rank512_lr0.0005_bs200_seq256_20251214-104542,200,0.0005,128,32,3.0,347.01139047360783
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(26.95M_d64_lag128_poly2_rank512_lr0.0005_bs200_seq256_20251214-100944_report.txt,NGRC_LM(26.95M_d64_lag128_poly2_rank512_lr0.0005_bs200_seq256_20251214-100944,200,0.0005,64,128,2.0,572.5958523378814
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(26.95M_d64_lag256_poly1_rank512_lr0.0005_bs200_seq256_20251214-101708_report.txt,NGRC_LM(26.95M_d64_lag256_poly1_rank512_lr0.0005_bs200_seq256_20251214-101708,200,0.0005,64,256,1.0,814.4645153364638
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(266.27M_d128_lag32_featz_z2_lr0.001_bs32_seq256_20251201-154343_report.txt,NGRC_LM(266.27M_d128_lag32_featz_z2_lr0.001_bs32_seq256_20251201-154343,32,0.001,128,32,,480.1426430999468
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(266.27M_d128_lag32_featz_z2_lr0.001_bs32_seq256_20251201-172929_report.txt,NGRC_LM(266.27M_d128_lag32_featz_z2_lr0.001_bs32_seq256_20251201-172929,32,0.001,128,32,,486.51525469723174
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(29.00M_d128_lag128_poly1_rank512_lr0.0005_bs200_seq256_20251214-104808_report.txt,NGRC_LM(29.00M_d128_lag128_poly1_rank512_lr0.0005_bs200_seq256_20251214-104808,200,0.0005,128,128,1.0,569.7638611500624
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(29.00M_d128_lag64_poly2_rank512_lr0.0005_bs200_seq256_20251214-104521_report.txt,NGRC_LM(29.00M_d128_lag64_poly2_rank512_lr0.0005_bs200_seq256_20251214-104521,200,0.0005,128,64,2.0,440.9662213687479
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(31.15M_d64_lag128_poly3_rank512_lr0.0005_bs200_seq256_20251214-101420_report.txt,NGRC_LM(31.15M_d64_lag128_poly3_rank512_lr0.0005_bs200_seq256_20251214-101420,200,0.0005,64,128,3.0,491.8498676876715
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(33.19M_d128_lag64_poly3_rank512_lr0.0005_bs200_seq256_20251214-105354_report.txt,NGRC_LM(33.19M_d128_lag64_poly3_rank512_lr0.0005_bs200_seq256_20251214-105354,200,0.0005,128,64,3.0,367.93964996268227
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(35.34M_d64_lag256_poly2_rank512_lr0.0005_bs200_seq256_20251214-101848_report.txt,NGRC_LM(35.34M_d64_lag256_poly2_rank512_lr0.0005_bs200_seq256_20251214-101848,200,0.0005,64,256,2.0,617.0924109860468
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(37.09M_d512_lag16_poly1_rank512_lr0.0005_bs200_seq256_20251214-111057_report.txt,NGRC_LM(37.09M_d512_lag16_poly1_rank512_lr0.0005_bs200_seq256_20251214-111057,200,0.0005,512,16,1.0,308.9189536597485
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(37.39M_d128_lag128_poly2_rank512_lr0.0005_bs200_seq256_20251214-105425_report.txt,NGRC_LM(37.39M_d128_lag128_poly2_rank512_lr0.0005_bs200_seq256_20251214-105425,200,0.0005,128,128,2.0,494.0238472585138
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(37.39M_d128_lag256_poly1_rank512_lr0.0005_bs200_seq256_20251214-105802_report.txt,NGRC_LM(37.39M_d128_lag256_poly1_rank512_lr0.0005_bs200_seq256_20251214-105802,200,0.0005,128,256,1.0,667.919114365245
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(41.29M_d512_lag16_poly2_rank512_lr0.0005_bs200_seq256_20251214-112401_report.txt,NGRC_LM(41.29M_d512_lag16_poly2_rank512_lr0.0005_bs200_seq256_20251214-112401,200,0.0005,512,16,2.0,251.9740137278632
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(41.29M_d512_lag32_poly1_rank512_lr0.0005_bs200_seq256_20251214-112035_report.txt,NGRC_LM(41.29M_d512_lag32_poly1_rank512_lr0.0005_bs200_seq256_20251214-112035,200,0.0005,512,32,1.0,315.6063220854578
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(43.73M_d64_lag256_poly3_rank512_lr0.0005_bs200_seq256_20251214-102433_report.txt,NGRC_LM(43.73M_d64_lag256_poly3_rank512_lr0.0005_bs200_seq256_20251214-102433,200,0.0005,64,256,3.0,549.5106465598293
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(45.48M_d512_lag16_poly3_rank512_lr0.0005_bs200_seq256_20251214-113932_report.txt,NGRC_LM(45.48M_d512_lag16_poly3_rank512_lr0.0005_bs200_seq256_20251214-113932,200,0.0005,512,16,3.0,212.3648808057814
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(45.78M_d128_lag128_poly3_rank512_lr0.0005_bs200_seq256_20251214-110351_report.txt,NGRC_LM(45.78M_d128_lag128_poly3_rank512_lr0.0005_bs200_seq256_20251214-110351,200,0.0005,128,128,3.0,401.0517843899014
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(49.68M_d512_lag32_poly2_rank512_lr0.0005_bs200_seq256_20251214-113509_report.txt,NGRC_LM(49.68M_d512_lag32_poly2_rank512_lr0.0005_bs200_seq256_20251214-113509,200,0.0005,512,32,2.0,274.6572111310468
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(49.68M_d512_lag64_poly1_rank512_lr0.0005_bs200_seq256_20251214-113135_report.txt,NGRC_LM(49.68M_d512_lag64_poly1_rank512_lr0.0005_bs200_seq256_20251214-113135,200,0.0005,512,64,1.0,342.3731624073438
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(54.17M_d128_lag256_poly2_rank512_lr0.0005_bs200_seq256_20251214-110708_report.txt,NGRC_LM(54.17M_d128_lag256_poly2_rank512_lr0.0005_bs200_seq256_20251214-110708,200,0.0005,128,256,2.0,570.0051681423286
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(58.07M_d512_lag32_poly3_rank512_lr0.0005_bs200_seq256_20251214-115125_report.txt,NGRC_LM(58.07M_d512_lag32_poly3_rank512_lr0.0005_bs200_seq256_20251214-115125,200,0.0005,512,32,3.0,226.23064733186925
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(66.45M_d512_lag128_poly1_rank512_lr0.0005_bs200_seq256_20251214-114536_report.txt,NGRC_LM(66.45M_d512_lag128_poly1_rank512_lr0.0005_bs200_seq256_20251214-114536,200,0.0005,512,128,1.0,377.46843091485795
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(70.94M_d128_lag256_poly3_rank512_lr0.0005_bs200_seq256_20251214-111804_report.txt,NGRC_LM(70.94M_d128_lag256_poly3_rank512_lr0.0005_bs200_seq256_20251214-111804,200,0.0005,128,256,3.0,450.3851611476444
/home/bitell/Devenv/NGRC/NGRC_LM/src/reports_ngrc/NGRC_LM(83.23M_d512_lag64_poly3_rank512_lr0.0005_bs200_seq256_20251214-120651_report.txt,NGRC_LM(83.23M_d512_lag64_poly3_rank512_lr0.0005_bs200_seq256_20251214-120651,200,0.0005,512,64,3.0,256.93358685225513
