file,run_name,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,hp.ngrc_num_layers,final_train_perplexity
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(47.22M_d128_lag48_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-220506_report.txt,multilayer_NGRC(47.22M_d128_lag48_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-220506,128,48,2,6,715.2702520445608
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(49.79M_d128_lag16_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-000702_report.txt,multilayer_NGRC(49.79M_d128_lag16_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-000702,128,16,2,18,1735.2183432753598
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(56.11M_d256_lag16_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-231404_report.txt,multilayer_NGRC(56.11M_d256_lag16_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-231404,256,16,3,6,317.1571862671759
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(59.81M_d128_lag64_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-222100_report.txt,multilayer_NGRC(59.81M_d128_lag64_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-222100,128,64,2,6,836.5012541549145
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(61.09M_d128_lag32_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-003922_report.txt,multilayer_NGRC(61.09M_d128_lag32_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-003922,128,32,2,12,1746.6068811371654
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(8.25M_d64_lag16_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-210606_report.txt,multilayer_NGRC(8.25M_d64_lag16_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-210606,64,16,1,6,803.4513881292036
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(84.97M_d128_lag96_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-224322_report.txt,multilayer_NGRC(84.97M_d128_lag96_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-224322,128,96,2,6,1172.8808937940264
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(86.26M_d128_lag48_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-010019_report.txt,multilayer_NGRC(86.26M_d128_lag48_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-010019,128,48,2,12,1745.5711266200235
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(87.54M_d128_lag32_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-002522_report.txt,multilayer_NGRC(87.54M_d128_lag32_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-002522,128,32,2,18,1746.5777317332481
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(90.99M_d512_lag16_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-210606_report.txt,multilayer_NGRC(90.99M_d512_lag16_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-210606,512,16,1,12,1424.8227134370266
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(93.86M_d256_lag32_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-233143_report.txt,multilayer_NGRC(93.86M_d256_lag32_poly3_layer6_rank512_lr0.0005_bs200_seq256_20251216-233143,256,32,3,6,899.2155137091339
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(95.83M_d256_lag16_poly3_layer12_rank512_lr0.0005_bs200_seq256_20251217-030204_report.txt,multilayer_NGRC(95.83M_d256_lag16_poly3_layer12_rank512_lr0.0005_bs200_seq256_20251217-030204,256,16,3,12,1736.611444304494
