param,spearman_rho,p_value,n,min,max
hp.ngrc_poly_degree,0.12383144598150773,0.51443384156342,30,1.0,3.0
hp.ngrc_d_model,0.19047253626974842,0.31335853442477324,30,64.0,512.0
hp.ngrc_lag,0.25823124904605177,0.16826781925770157,30,16.0,96.0
hp.ngrc_num_layers,0.7233893127781176,6.284640541931695e-06,30,6.0,18.0
